departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,producto,precio,Year,Month,Day
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE SERVICIO AUTOMOTRIZ DISMARINA LTDA,ECOS,BIODIESEL,7700,2016,8,2
08,ATLANTICO,08758,SOLEDAD,BUS BENZ SAS,TERPEL,BIODIESEL,7104,2016,8,5
50,META,50313,GRANADA,ESTACION DE SERVICIO DISTRACOM LA ENCRUCIJADA,BIOMAX,BIODIESEL,7547,2016,8,6
50,META,50313,GRANADA,ESTACION DE SERVICIO DISTRACOM LA ENCRUCIJADA,BIOMAX,GASOLINA CORRIENTE,8129,2016,8,6
18,CAQUETA,18205,CURILLO,LAS BRISAS,TERPEL,BIODIESEL,8275,2016,8,10
18,CAQUETA,18205,CURILLO,LAS BRISAS,TERPEL,GASOLINA CORRIENTE,8050,2016,8,10
13,BOLIVAR,13838,TURBANA,ESTACION DE SERVICIO HACIENDA LA PAZ,TERPEL,BIODIESEL,7950,2016,8,17
18,CAQUETA,18460,MILAN,PUERTO PLATANERO,TERPEL,BIODIESEL,7540,2016,8,22
18,CAQUETA,18460,MILAN,PUERTO PLATANERO,TERPEL,GASOLINA CORRIENTE,8100,2016,8,22
68,SANTANDER,68575,PUERTO WILCHES,ESTACION DE SERVICIO BRISAS DEL SOGAMOSO,TERPEL,BIODIESEL,7550,2016,8,23
68,SANTANDER,68575,PUERTO WILCHES,ESTACION DE SERVICIO BRISAS DEL SOGAMOSO,TERPEL,GASOLINA CORRIENTE,8000,2016,8,23
41,HUILA,41357,IQUIRA,ESTACION DE SERVICIO Y ESTADERO EL MADROÑO,TERPEL,GASOLINA CORRIENTE,7880,2016,9,3
41,HUILA,41357,IQUIRA,ESTACION DE SERVICIO Y ESTADERO EL MADROÑO,TERPEL,BIODIESEL,7440,2016,9,3
05,ANTIOQUIA,05154,CAUCASIA,ESTACION DE SERVICIO AUTOMOTRIZ LA MAGNETICA,TEXACO,BIODIESEL,8580,2016,9,8
